snapshot_at,org,programs,city,state,totalRegisteredCameras,totalIntegratedCameras,totalOwnedCameras,totalSharedCameras,totalMaxCameras,subscribedCameras,observed_at,program_count,status,http_status,error,missing_metrics,source_url
2026-09-15T23:08:15Z,aacounty,Connect Anne Arundel,Anne Arundel County,MD,1026,3664,2372,534,1500,2336,2026-09-15T23:08:16Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/aacounty/stats/
2026-09-15T23:08:15Z,accpd,Connect Athens-Clarke County,Athens-Clarke County,GA,68,4308,1827,297,500,526,2026-09-15T23:08:17Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/accpd/stats/
2026-09-15T23:08:15Z,acworthga,Connect Acworth,Acworth,GA,150,10580,237,451,500,237,2026-09-15T23:08:18Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/acworthga/stats/
2026-09-15T23:08:15Z,adamscsoco,Connect Adams County,Adams County,CO,156,166,166,0,1500,166,2026-09-15T23:08:19Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/adamscsoco/stats/
2026-09-15T23:08:15Z,alachuasheriff,Connect Alachua County,Alachua County,FL,0,216,160,0,850,143,2026-09-15T23:08:20Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/alachuasheriff/stats/
2026-09-15T23:08:15Z,albanypolice,Connect Albany,Albany,GA,725,13935,1154,3414,6634,1140,2026-09-15T23:08:21Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/albanypolice/stats/
2026-09-15T23:08:15Z,alpharetta,Connect Alpharetta,Alpharetta,GA,0,0,0,0,2500,0,2026-09-15T23:08:22Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/alpharetta/stats/
2026-09-15T23:08:15Z,alsipil,Connect Alsip,Alsip,IL,737,977,930,26,1500,979,2026-09-15T23:08:23Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/alsipil/stats/
2026-09-15T23:08:15Z,altoonapd,Connect Altoona,Altoona,IA,345,605,605,0,925,595,2026-09-15T23:08:24Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/altoonapd/stats/
2026-09-15T23:08:15Z,amarillopd,Connect Amarillo,Amarillo,TX,32,491,491,0,500,483,2026-09-15T23:08:25Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/amarillopd/stats/
2026-09-15T23:08:15Z,anaheim,Connect Anaheim,Anaheim,CA,424,714,667,3,1500,636,2026-09-15T23:08:26Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/anaheim/stats/
2026-09-15T23:08:15Z,anchoragepdak,Safe Anchorage,Anchorage,AK,269,40,18,22,0,18,2026-09-15T23:08:27Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/anchoragepdak/stats/
2026-09-15T23:08:15Z,anokacountysomn,Anoka County Real Time Crime Center,Anoka County,MN,374,2674,635,1721,500,634,2026-09-15T23:08:28Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/anokacountysomn/stats/
2026-09-15T23:08:15Z,apachejunctionpdaz,Connect Apache Junction,Apache Junction,AZ,0,199,199,0,225,191,2026-09-15T23:08:29Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/apachejunctionpdaz/stats/
2026-09-15T23:08:15Z,apopkapd,Connect Apopka,Apopka,FL,174,7852,224,6894,500,221,2026-09-15T23:08:30Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/apopkapd/stats/
2026-09-15T23:08:15Z,arlingtonheightspd,Connect Arlington Heights,Arlington Heights,IL,652,1142,379,763,1500,363,2026-09-15T23:08:31Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/arlingtonheightspd/stats/
2026-09-15T23:08:15Z,artesianmpd,Connect Artesia,Artesia,MN,57,209,209,0,0,207,2026-09-15T23:08:32Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/artesianmpd/stats/
2026-09-15T23:08:15Z,ashevillepdnc,Connect Asheville,Asheville,NC,11,19,19,0,500,7,2026-09-15T23:08:33Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/ashevillepdnc/stats/
2026-09-15T23:08:15Z,ashlandpdal,Connect Ashland,Ashland,AL,8,673,49,624,125,49,2026-09-15T23:08:34Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/ashlandpdal/stats/
2026-09-15T23:08:15Z,auroragov,Connect Aurora,Aurora,CO,55,930,930,0,10000,930,2026-09-15T23:08:35Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/auroragov/stats/
2026-09-15T23:08:15Z,baltimorecountypd,Connect Baltimore County,Baltimore County,MD,4,592,531,61,5000,500,2026-09-15T23:08:36Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/baltimorecountypd/stats/
2026-09-15T23:08:15Z,bartowfl,Connect Bartow,Bartow,FL,0,34,34,0,0,32,2026-09-15T23:08:37Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bartowfl/stats/
2026-09-15T23:08:15Z,baycounty,Connect Bay County,Bay County,FL,1709,1504,1150,289,1500,1122,2026-09-15T23:08:38Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/baycounty/stats/
2026-09-15T23:08:15Z,beaumonttx,Connect Southeast Texas,Southeast Texas,TX,4033,3793,1529,2094,4500,755,2026-09-15T23:08:39Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/beaumonttx/stats/
2026-09-15T23:08:15Z,bedfordparkpd,Connect Bedford Park,Bedford Park,IL,126,282,217,3,500,200,2026-09-15T23:08:40Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bedfordparkpd/stats/
2026-09-15T23:08:15Z,bendpd,Connect Bend,Bend,OR,774,322,254,68,150,210,2026-09-15T23:08:41Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bendpd/stats/
2026-09-15T23:08:15Z,bensalem,Connect Bensalem,Bensalem,PA,1174,1006,990,16,1500,978,2026-09-15T23:08:42Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bensalem/stats/
2026-09-15T23:08:15Z,bernalillo,Connect Bernalillo County,Bernalillo County,NM,216,453,373,80,500,293,2026-09-15T23:08:43Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bernalillo/stats/
2026-09-15T23:08:15Z,beverlyhillspd,Beverly Hills Connect,Beverly Hills,CA,520,1883,1782,101,1750,1776,2026-09-15T23:08:44Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/beverlyhillspd/stats/
2026-09-15T23:08:15Z,biloxi,Connect Biloxi,Biloxi,MS,157,846,423,373,1000,416,2026-09-15T23:08:45Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/biloxi/stats/
2026-09-15T23:08:15Z,birminghampd,Connect Birmingham,Birmingham,AL,773,948,280,212,10000,237,2026-09-15T23:08:46Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/birminghampd/stats/
2026-09-15T23:08:15Z,blackmanleonitwp,Connect Blackman Leoni Township,Blackman Leoni Township,MI,1,3,3,0,0,3,2026-09-15T23:08:47Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/blackmanleonitwp/stats/
2026-09-15T23:08:15Z,bocaratonpdfl,Connect BRPD,Boca Raton,FL,5,911,677,8,0,654,2026-09-15T23:08:48Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bocaratonpdfl/stats/
2026-09-15T23:08:15Z,boernepdtx,Connect Boerne,Boerne,TX,0,77,77,0,0,77,2026-09-15T23:08:49Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/boernepdtx/stats/
2026-09-15T23:08:15Z,boulderpdco,Boulder Community Connect,Boulder,CO,0,161,161,0,0,108,2026-09-15T23:08:50Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/boulderpdco/stats/
2026-09-15T23:08:15Z,bradentonfl,Connect Bradenton,Bradenton,FL,319,3160,269,2891,1500,258,2026-09-15T23:08:51Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bradentonfl/stats/
2026-09-15T23:08:15Z,brazostx,Connect Brazos County,Brazos County,TX,155,197,176,0,1500,158,2026-09-15T23:08:52Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/brazostx/stats/
2026-09-15T23:08:15Z,brooklynparkpdmn,Brooklyn Park Community Cameras,Brooklyn Park,MN,503,240,229,0,0,205,2026-09-15T23:08:53Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/brooklynparkpdmn/stats/
2026-09-15T23:08:15Z,brownsvillepd,Connect Brownsville,Brownsville,TX,664,219,219,0,500,199,2026-09-15T23:08:54Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/brownsvillepd/stats/
2026-09-15T23:08:15Z,buncombesheriff,Connect Buncombe County,Buncombe County,NC,563,2657,437,2220,4500,316,2026-09-15T23:08:55Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/buncombesheriff/stats/
2026-09-15T23:08:15Z,burbankpdil,Connect Burbank,Burbank,IL,304,425,399,3,150,399,2026-09-15T23:08:56Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/burbankpdil/stats/
2026-09-15T23:08:15Z,calcasieusheriff,Connect Calcasieu Parish,Calcasieu Parish,LA,3,98,98,0,10000,98,2026-09-15T23:08:57Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/calcasieusheriff/stats/
2026-09-15T23:08:15Z,caldwellpdid,Connect Caldwell,Caldwell,ID,61,215,215,0,225,204,2026-09-15T23:08:58Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/caldwellpdid/stats/
2026-09-15T23:08:15Z,campbellpd,Connect Campbell,Campbell,CA,198,313,281,32,10000,270,2026-09-15T23:08:59Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/campbellpd/stats/
2026-09-15T23:08:15Z,carencropd,Connect Carencro,Carencro,LA,85,1610,215,12,914,215,2026-09-15T23:09:00Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/carencropd/stats/
2026-09-15T23:08:15Z,carlsbadpdnm,Connect Carlsbad,Carlsbad,NM,3,12,12,0,0,4,2026-09-15T23:09:01Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/carlsbadpdnm/stats/
2026-09-15T23:08:15Z,carypd,Connect Cary,Cary,NC,37,1267,841,0,1500,840,2026-09-15T23:09:02Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/carypd/stats/
