quality_ok,snapshot_at,observed_at,org,program_count,programs,city,state,status,http_status,error,missing_metrics,source_url,totalRegisteredCameras,totalIntegratedCameras,totalOwnedCameras,totalSharedCameras,totalMaxCameras,subscribedCameras
True,2026-09-15T23:08:15Z,2026-09-15T23:08:44Z,beverlyhillspd,1,Beverly Hills Connect,Beverly Hills,CA,ok,200,,,https://api.fususone.com/api/public/organizations/beverlyhillspd/stats/,520,1883,1782,101,1750,1776
True,2026-09-15T23:08:15Z,2026-09-15T23:08:45Z,biloxi,1,Connect Biloxi,Biloxi,MS,ok,200,,,https://api.fususone.com/api/public/organizations/biloxi/stats/,157,846,423,373,1000,416
True,2026-09-15T23:08:15Z,2026-09-15T23:08:46Z,birminghampd,1,Connect Birmingham,Birmingham,AL,ok,200,,,https://api.fususone.com/api/public/organizations/birminghampd/stats/,773,948,280,212,10000,237
True,2026-09-15T23:08:15Z,2026-09-15T23:08:47Z,blackmanleonitwp,1,Connect Blackman Leoni Township,Blackman Leoni Township,MI,ok,200,,,https://api.fususone.com/api/public/organizations/blackmanleonitwp/stats/,1,3,3,0,0,3
True,2026-09-15T23:08:15Z,2026-09-15T23:08:48Z,bocaratonpdfl,1,Connect BRPD,Boca Raton,FL,ok,200,,,https://api.fususone.com/api/public/organizations/bocaratonpdfl/stats/,5,911,677,8,0,654
True,2026-09-15T23:08:15Z,2026-09-15T23:08:49Z,boernepdtx,1,Connect Boerne,Boerne,TX,ok,200,,,https://api.fususone.com/api/public/organizations/boernepdtx/stats/,0,77,77,0,0,77
True,2026-09-15T23:08:15Z,2026-09-15T23:08:50Z,boulderpdco,1,Boulder Community Connect,Boulder,CO,ok,200,,,https://api.fususone.com/api/public/organizations/boulderpdco/stats/,0,161,161,0,0,108
True,2026-09-15T23:08:15Z,2026-09-15T23:08:51Z,bradentonfl,1,Connect Bradenton,Bradenton,FL,ok,200,,,https://api.fususone.com/api/public/organizations/bradentonfl/stats/,319,3160,269,2891,1500,258
True,2026-09-15T23:08:15Z,2026-09-15T23:08:52Z,brazostx,1,Connect Brazos County,Brazos County,TX,ok,200,,,https://api.fususone.com/api/public/organizations/brazostx/stats/,155,197,176,0,1500,158
True,2026-09-15T23:08:15Z,2026-09-15T23:08:53Z,brooklynparkpdmn,1,Brooklyn Park Community Cameras,Brooklyn Park,MN,ok,200,,,https://api.fususone.com/api/public/organizations/brooklynparkpdmn/stats/,503,240,229,0,0,205
True,2026-09-15T23:08:15Z,2026-09-15T23:08:54Z,brownsvillepd,1,Connect Brownsville,Brownsville,TX,ok,200,,,https://api.fususone.com/api/public/organizations/brownsvillepd/stats/,664,219,219,0,500,199
True,2026-09-15T23:08:15Z,2026-09-15T23:08:55Z,buncombesheriff,1,Connect Buncombe County,Buncombe County,NC,ok,200,,,https://api.fususone.com/api/public/organizations/buncombesheriff/stats/,563,2657,437,2220,4500,316
True,2026-09-15T23:08:15Z,2026-09-15T23:08:56Z,burbankpdil,1,Connect Burbank,Burbank,IL,ok,200,,,https://api.fususone.com/api/public/organizations/burbankpdil/stats/,304,425,399,3,150,399
True,2026-09-15T23:08:15Z,2026-09-15T23:08:57Z,calcasieusheriff,1,Connect Calcasieu Parish,Calcasieu Parish,LA,ok,200,,,https://api.fususone.com/api/public/organizations/calcasieusheriff/stats/,3,98,98,0,10000,98
True,2026-09-15T23:08:15Z,2026-09-15T23:08:58Z,caldwellpdid,1,Connect Caldwell,Caldwell,ID,ok,200,,,https://api.fususone.com/api/public/organizations/caldwellpdid/stats/,61,215,215,0,225,204
True,2026-09-15T23:08:15Z,2026-09-15T23:08:59Z,campbellpd,1,Connect Campbell,Campbell,CA,ok,200,,,https://api.fususone.com/api/public/organizations/campbellpd/stats/,198,313,281,32,10000,270
True,2026-09-15T23:08:15Z,2026-09-15T23:09:00Z,carencropd,1,Connect Carencro,Carencro,LA,ok,200,,,https://api.fususone.com/api/public/organizations/carencropd/stats/,85,1610,215,12,914,215
True,2026-09-15T23:08:15Z,2026-09-15T23:09:01Z,carlsbadpdnm,1,Connect Carlsbad,Carlsbad,NM,ok,200,,,https://api.fususone.com/api/public/organizations/carlsbadpdnm/stats/,3,12,12,0,0,4
True,2026-09-15T23:08:15Z,2026-09-15T23:09:02Z,carypd,1,Connect Cary,Cary,NC,ok,200,,,https://api.fususone.com/api/public/organizations/carypd/stats/,37,1267,841,0,1500,840
True,2026-09-15T23:08:15Z,2026-09-15T23:09:03Z,charlestonpd,1,Connect Charleston,Charleston,SC,ok,200,,,https://api.fususone.com/api/public/organizations/charlestonpd/stats/,300,577,501,25,500,466
True,2026-09-15T23:08:15Z,2026-09-15T23:09:04Z,charlottecounty,1,Connect Charlotte County,Charlotte County,FL,ok,200,,,https://api.fususone.com/api/public/organizations/charlottecounty/stats/,2327,3826,353,3391,1500,330
True,2026-09-15T23:08:15Z,2026-09-15T23:09:05Z,charlottemecklenburg,1,Connect Charlotte,Charlotte,NC,ok,200,,,https://api.fususone.com/api/public/organizations/charlottemecklenburg/stats/,3086,1728,1523,21,1500,1377
True,2026-09-15T23:08:15Z,2026-09-15T23:09:06Z,chattanoogapd,1,Dragonfly Community Connect,Chattanooga,TN,ok,200,,,https://api.fususone.com/api/public/organizations/chattanoogapd/stats/,0,774,773,1,1500,764
True,2026-09-15T23:08:15Z,2026-09-15T23:09:07Z,cherokeega,1,Connect Cherokee,Cherokee County,GA,ok,200,,,https://api.fususone.com/api/public/organizations/cherokeega/stats/,624,13420,622,548,2500,566
True,2026-09-15T23:08:15Z,2026-09-15T23:09:08Z,chesterfieldcounty,1,Chesterfield Community Connect Program,Chesterfield County,VA,ok,200,,,https://api.fususone.com/api/public/organizations/chesterfieldcounty/stats/,768,11171,1010,10099,4500,949
True,2026-09-15T23:08:15Z,2026-09-15T23:09:09Z,chicagoheights,1,Connect Chicago Heights,Chicago Heights,IL,ok,200,,,https://api.fususone.com/api/public/organizations/chicagoheights/stats/,221,1221,1168,0,500,725
True,2026-09-15T23:08:15Z,2026-09-15T23:09:10Z,chicopee,1,Connect Chicopee,Chicopee,MA,ok,200,,,https://api.fususone.com/api/public/organizations/chicopee/stats/,128,512,512,0,1500,509
True,2026-09-15T23:08:15Z,2026-09-15T23:09:11Z,ciceropd,1,Cicero SAFE (Shared Access For Enforcement),Cicero,IL,ok,200,,,https://api.fususone.com/api/public/organizations/ciceropd/stats/,29,549,549,0,1500,541
True,2026-09-15T23:08:15Z,2026-09-15T23:09:12Z,cincinnatipd,1,Connect Cincinnati,Cincinnati,OH,ok,200,,,https://api.fususone.com/api/public/organizations/cincinnatipd/stats/,1713,844,801,43,1500,746
True,2026-09-15T23:08:15Z,2026-09-15T23:09:13Z,cityofatlanta,1,Connect Atlanta,Atlanta,GA,ok,200,,,https://api.fususone.com/api/public/organizations/cityofatlanta/stats/,17517,28373,2583,11643,29250,2549
True,2026-09-15T23:08:15Z,2026-09-15T23:09:14Z,cityofcanton,1,Connect Canton,Canton,MS,ok,200,,,https://api.fususone.com/api/public/organizations/cityofcanton/stats/,0,31,0,31,10000,0
True,2026-09-15T23:08:15Z,2026-09-15T23:09:15Z,cityofdoralpd,1,Connect Doral,Doral,FL,ok,200,,,https://api.fususone.com/api/public/organizations/cityofdoralpd/stats/,221,3425,397,3028,10000,243
