org,metric,period,previous_count,current_count,change,change_pct,change_per_week,programs,city,state,previous_at,current_at,elapsed_days,from_zero,ranking_eligible,source_url
alachuasheriff,totalOwnedCameras,previous,160,160,0,0.0,0.0,Connect Alachua County,Alachua County,FL,2026-09-15T23:08:20Z,2026-09-15T23:17:31Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alachuasheriff/stats/
alachuasheriff,totalSharedCameras,previous,0,0,0,,0.0,Connect Alachua County,Alachua County,FL,2026-09-15T23:08:20Z,2026-09-15T23:17:31Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/alachuasheriff/stats/
alachuasheriff,totalMaxCameras,previous,850,850,0,0.0,0.0,Connect Alachua County,Alachua County,FL,2026-09-15T23:08:20Z,2026-09-15T23:17:31Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alachuasheriff/stats/
alachuasheriff,subscribedCameras,previous,143,143,0,0.0,0.0,Connect Alachua County,Alachua County,FL,2026-09-15T23:08:20Z,2026-09-15T23:17:31Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alachuasheriff/stats/
albanypolice,totalRegisteredCameras,previous,725,725,0,0.0,0.0,Connect Albany,Albany,GA,2026-09-15T23:08:21Z,2026-09-15T23:17:32Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/albanypolice/stats/
albanypolice,totalIntegratedCameras,previous,13935,13935,0,0.0,0.0,Connect Albany,Albany,GA,2026-09-15T23:08:21Z,2026-09-15T23:17:32Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/albanypolice/stats/
albanypolice,totalOwnedCameras,previous,1154,1154,0,0.0,0.0,Connect Albany,Albany,GA,2026-09-15T23:08:21Z,2026-09-15T23:17:32Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/albanypolice/stats/
albanypolice,totalSharedCameras,previous,3414,3414,0,0.0,0.0,Connect Albany,Albany,GA,2026-09-15T23:08:21Z,2026-09-15T23:17:32Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/albanypolice/stats/
albanypolice,totalMaxCameras,previous,6634,6634,0,0.0,0.0,Connect Albany,Albany,GA,2026-09-15T23:08:21Z,2026-09-15T23:17:32Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/albanypolice/stats/
albanypolice,subscribedCameras,previous,1140,1140,0,0.0,0.0,Connect Albany,Albany,GA,2026-09-15T23:08:21Z,2026-09-15T23:17:32Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/albanypolice/stats/
